Creator,Ponzi_Addresses_Count,Ponzi_Addresses,Non_Ponzi_Addresses_Count,Non_Ponzi_Addresses
0xa1b5f95be71ffa2f86adefcaa0028c46fe825161,0,,22,"0x50739060a2c32dc076e507ae1a893aab28ecfe68, 0x83cfd2d33bb9ed552a1e4b6af1bc3ea73bdee4f0, 0x7f0fd8fa402d56dca1f4baa9bf3880721c274d53, 0x110c11de11cce962604c28bb05bbc399cbaa7bda, 0xcf7cba701ded5c4d8e588e64f70b6ba1c17ea277, 0x193ff455560318fc749e2ffbb0e6472e5192e427, 0xc8da125b61fe356239321309ca07465d28887778, 0xeb927a56588d17d551e72ef0a2be460a4ddb7060, 0xdf7734f8dbd40b392128993d847e9ede790dd1c9, 0xfdc1d17c59320f35816de0ffad0a019c9718dd88, 0x498aaea441af871de5e65848a31ce57385dea597, 0x09d4b4014db27ddfbc73393af4f0a8f444e539ea, 0x60aa80fe41b43c180870a137c7a87334e5c3cb5d, 0xee9147dd0307e4a663d0f756549d47d6f8bd356b, 0xef5ee58d50f36f2b34d87c35a9972ea4a73426f3, 0x78f6a1d4b94d2e6c4ce3c5cc858b9dfb6e98b50f, 0xaae10c1223df062e2df6982a80621977fa8b2d34, 0x4b92a948ced9d457b4655abf62ed930a090f8566, 0xb95dd00b76c15b11ae82e875e9719029cd4d2110, 0x75a931567048edd4f349fa1a1cfbc4b4dca352c9, 0xd3c9836230d43e85c643607cec509138f2955da8, 0x2ab9f67a27f606272189b307052694d3a2b158ba"
0x115496dc30805b61f95998ea9805172faaaabb9f,0,,2,"0xb9ecee3caa88e1864b8264b18d74a267c79aa2d1, 0xe5544a2a5fa9b175da60d8eec67add5582bb31b0"
0x5de92686587b10cd47e03b71f2e2350606fcaf14,0,,19,"0xe709c6c933bda30963274d5bdd1e556c655c59fe, 0xc5a1443d41ea9a694a8ebd999b9bced08cf4ca90, 0xa9a8108994bb704261567e53b49607a73876ddf1, 0xc5e0671844fbfcb9a91c53abaee8fe6ed20f3aab, 0x395cf3ecd8794e9b2c58c2fff0e3d9e58f939319, 0x8316b95945abdbc15fb7736c1620e9904cd1d9e5, 0xdd5d965b26e1d11f7933797b465fa95c89c368f5, 0x2700b4469ddb14f435e57eca538e95f43d9e6c38, 0x9dc69490ec0d558f8f62b6d0ad64611b621a026e, 0x6410504202c3fd106baadb2a1c1782b0adad1654, 0x2dd78551c49d739c4a0ae80e4f863e74be39e1cb, 0x7c07b7b34da43f240ed6d4edaefe9a986aa01bfc, 0xb69d539c777e7793fda30f31633de321e8fee613, 0x77d7536eb289f61c47c728142bda4da54ca9c71f, 0xf0cfb6e33af9a0bbf70b37662c0f5b3c7483b16d, 0x0f822ae3fc6e3305b33f95d905c9967bae244d82, 0x2a7e1f7932240a1e0609b4b993933649163d8755, 0x22cdaa7b4460a046f0cc9878a4f79fdc2f187316, 0x358bd9446e79ee20c0fbaa4f3bff31d794bfe8b9"
0xe7827ba56a848dff35ccff016f6c0055603ec454,0,,5,"0x4b8e1ad58657f8b4b036ad12afbcef54d24ac9ba, 0x9ab2b9bd7c70ba12757eadcda5a9626ac247fadf, 0x488b7b5ed8ee6fa28c0cb3a0ee7351573070601d, 0xabea74917283a8662865894c7d6cfecafd85ceb6, 0x98a31890002355fbe5231c60db4b1b6c28f45e90"
0xa28f8098a723e4ca02e9f4512410c519a252c1a9,1,0x8f13a1d43408b6434dd10e161361386f3952d665,1,0x032747313c4e914b5fce356ab8dc4df551972dcd
0xd9145ecbbfd234db0802df65983a56a2bd59a996,0,,2,"0x4ed65e408439a7f6459b5cfbd364f373bd6ed5f7, 0xbe7193779e3239781e49faafbdd0a9efa938f389"
0x00ff1d79e83997b205e7f0284f6f0502d75d979a,0,,2,"0x655f01313bb55c04e8ed36a5098984f3f3de57bc, 0xaed5a41450b38fc0ea0f6f203a985653fe187d9c"
0x19834031fcdcc76b32c4c03d8886d63114842067,0,,3,"0xce1555c4fc4ddc2d87183d1a36e0a410e565624d, 0xeb3c1a7f816da958a0f8b9f4ef63a19b26d03739, 0xcf31dd376d15db527375b8c2b24e0ef45bcf71b6"
0xfd2605a2bf58fdbb90db1da55df61628b47f9e8c,0,,2,"0x32304cdbe41fe4f1c48b08356414a52957d22d3b, 0x15e745a2e3b677ec6421291b212d3917b3738dee"
0x7386919befc70aa7ee9f02886ed45b26469cbacd,0,,4,"0x22f83d39a2148dd389ed4c7a9280f57d5c8679da, 0xa9659531a174390b6921ffd540365bbb02297f10, 0xde5ebd0b8879b0a42b23b37e4d76a5e21a0bef4b, 0x872b91913dc7279702b7591c970b02519c4615cf"
0xeae16cc5e6f067ba82921be6e89741d130c68548,0,,2,"0x80ddae5251047d6ceb29765f38fed1c0013004b7, 0xa0fd10be97cca603450373cdfaeb08316e684360"
0x1a88c052fc7a8401e00b2f76f96ac62a19427731,0,,2,"0xd588b586d61c826a0e87919b3d1a239206d58bf2, 0xfdb96ecf50c97ae1966dccdd90e7a0d4fa260b39"
0xc90cd1fa9940a4d4a07a37c53bb4f423fd286945,0,,3,"0x39aa4006ee5941c0c0e41b924fdafcb2c4c918e8, 0x6467687d8aaacd7239ee639c8808624013997b92, 0xbf7316fab5c8cfbda5e763a5a1f94c4e0ce7ec37"
0x1ff21eca1c3ba96ed53783ab9c92ffbf77862584,0,,15,"0x606ddac6f2928369e8515340f8de97fe2d166777, 0x162ac26e2f0fe036c3a3d370c118de0b6c883083, 0x56baef0f4ac33abeb12112933c003f232e0be0a6, 0x98d4e639c8a87b51a31b7905d7c4f43c5d005280, 0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c, 0x8df6e2b723ddd7e106cf502cf253b5aef05d4257, 0x660b612ec57754d949ac1a09d0c2937a010dee05, 0x0affa06e7fbe5bc9a764c979aa66e8256a631f02, 0x226bb599a12c826476e3a771454697ea52e9e220, 0x9899af5aa1efa90921d686212c87e70f4fbea035, 0x284aaf33b12028defc77c50516b8439c53e00a31, 0x5d78d89d4a90b7db17821d36599de1c78c7bda28, 0x6eabbdc20a0e81485cf5281c0cb26d6c288ac73d, 0xfca1a79d59bcf870faa685be0d0cda394f52ceb5, 0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e"
0xc3e44527b935d02d805d8d21dd07ea9d2cd5fc22,0,,4,"0x55190829f2b43323b61421b36d6bd1c5b85d1297, 0x302fe87b56330be266599fab2a54747299b5ac5b, 0x5f0d0c4c159970fda5adc93a6b7f17706fd3255c, 0xc8d9890df1ff2e87be05e9edab3cca26f054b611"
